key,en,id
onboarding,"Manage Your Money, Reach Your Goals, and Thrive.","Kelola uang Anda, mencapai tujuan Anda, dan berkembang."
newUser,I’m new here,Saya baru disini
haveAccount,Already have an account,Sudah memiliki akun
welcomeBack,Welcome Back! ✨,Selamat Datang kembali! ✨
descWelcomeBack,Enter your registed account to manage your money and reach your goals,Masukkan akun Anda yang ditdaftar untuk mengelola uang Anda dan mencapai tujuan Anda
email,Email,Email
password,Password,Kata sandi
forgotPassword,Forgot Password?,Tidak ingat kata sandi?
login,Login,Login
dontHaveAnAccount,Don’t have an account?,Tidak punya akun?
createNewAccount,Create New Account,Buat akun baru
emailPassIsIncorrect,Email or Password is incorrect,Email atau kata sandi salah
confirmPassword,Confirm Password,Konfirmasi Sandi
helloThere,Hello THERE! ✨,Halo yang disana! ✨
descHelloThere,Nice to meet you! enter your identity to reach your goals,Senang bertemu dengan Anda! Masukkan identitas Anda untuk mencapai tujuan Anda
haveAccountTwo,Already have an account?,Sudah memiliki akun?
almostThere,Almost there,Hampir selesai
lastStep,The last step is verify your account. Go to email to verify your account now,Langkah terakhir adalah memverifikasi akun Anda. Buka email untuk memverifikasi akun Anda sekarang
goToMail,Go to email,Pergi ke email
forgotPasswordPage,Forgot Password,Tidak ingat kata sandi
descForgotPassword,Don’t worry! enter your mail so we can share you link to change password,Jangan khawatir! Masukkan email Anda sehingga kami dapat membagikan tautan Anda untuk mengubah kata sandi
sendMeLink,Send me link,Kirimkan saya tautan
checkYourEmail,Check your email,Periksa email anda
descCheckYourEmail,Great! Now you can change your password through the link we send to your mail,Bagus! Sekarang Anda dapat mengubah kata sandi Anda melalui tautan yang kami kirim ke email Anda
goodDay,Good day,Halo
overview,Overview,Ringkasan
goals,Goals,Tujuan
todayExpenses,Today Expenses,Pengeluaran Hari Ini
addExpenses,Add Expenses,Tambah Pengeluaran
addIncome,Add Income,Tambah Penghasilan
purchaseDate,Purchase Date,Tanggal Pembelian
categories,Categories,Kategori
items,Items,Item
amount,Amount,Jumlah
submit,Submit,Simpan
cancel,Cancel,Batal
date,Date,Tanggal
incomeSource,Income Source,Sumber pendapatan
descriptionOptional,Description (Optional),Deskripsi (opsional)
expenseAdded,Expense Added,Biaya ditambahkan
incomeAdded,Income Added,Pendapatan ditambahkan
income,Income,Penghasilan
expense,Expense,Pengeluaran
all,All,Semua
savings,Savings,Tabungan
yearlyBreakdown,Yearly Breakdown,Rincian Tahunan
mostExpense,Most Expense,Pengeluaran Terbesar
mostIncome,Most Income,Pemasukan Terbesar
expenseBreakdown,Expense Breakdown,Rincian Pengeluaran
incomeBreakdown,Income Breakdown,Rincian Pendapatan
cashflow,Cashflow,Arus kas
noExpenseToday,No expense today :D,Tidak ada pengeluaran hari ini :D
name,Name,Nama
selectCategories,Select Categories,Pilih Kategori
statistics,Statistics,Statistik
invalidEmailFailure,Email is not valid or badly formatted.,Email tidak valid atau diformat buruk.
userDisabledFailure,This user has been disabled. Please contact support for help.,Pengguna ini telah dinonaktifkan. Silakan hubungi Dukungan untuk Bantuan.
userNotFoundFailure,"Email is not found, please create an account.","Email tidak ditemukan, silakan buat akun."
wrongPasswordFailure,"Incorrect password, please try again.","Kata sandi yang salah, coba lagi."
emailAlreadyFailure,An account already exists.,Akun sudah ada.
operationNotAllowedFailure,Operation is not allowed. Please contact support.,Operasi tidak diperbolehkan. Silakan hubungi Dukungan.
weakPasswordFailure,Please enter a stronger password.,Harap masukkan kata sandi yang lebih kuat.
monthlyBudget,Monthly Budget,Anggaran bulanan
spent,Spent,Dihabiskan
formEmpty,Blank data,Data kosong
passwordLengthFailure,Password must be 8 character or more,Kata sandi harus 8 karakter atau lebih
passConfPassFailure,Password and Confirm Password do not match,Kata sandi dan konfirmasi kata sandi tidak cocok
chooseLang,Choose language:,Pilih bahasa:
verifSuccess,"Get ready to dive headfirst into the app, where you can effortlessly glide through its awesome features and unlock a goal!","Bersiaplah untuk menyelam lebih dulu ke dalam aplikasi, di mana Anda dapat dengan mudah meluncur melalui fitur -fiturnya yang luar biasa dan membuka kunci tujuan!"
invalidLoginCredentials,Invalid login credentials,Kredensial login tidak valid
emailNotConfirmed,Email not confirmed,Email tidak dikonfirmasi
setMonthlyBudget,Set Monthly Budget,Tetapkan anggaran bulanan
skip,Skip,Lewati
verified,Verified,Terverifikasi
monBudgetIncomeQuest,First thing first!\nwhat's your monthly income?,Hal pertama yang utama!\nBerapa pendapatan bulanan Anda?
monBudgetSpentQuest,How much do you want to spend monthly?,Berapa banyak yang\nAnda habiskan setiap bulan?
goalEmpty,You don’t have a goal,Anda tidak memiliki tabungan barang
addGoals,Add Goal,Tambah tujuan
monthlyIncome,Monthly Income,Pendapatan bulanan
account,Account,Akun
general,General,Umum
changeLanguage,Change Language,Ganti Bahasa
rateCling,Rate Cling! App,Nilai Aplikasi Cling! 
currentBalance,Current balance,Saldo saat ini
loginWithAnon,Login with Anonymous,Login dengan Anonim
goalName,Goal name,Nama tujuan
target,Target,Target
next,Next,Lanjut
back,Back,Kembali
noConnection,No internet connection,Tidak ada koneksi internet
budgetMustAbove0,Monthly budget must above 0,Anggaran bulanan harus di atas 0
invalidAmount,Invalid amount,Jumlah tidak valid
incomeMustAbove0,Monthly income must above 0,Pendapatan bulanan harus di atas 0
pleaseSelectCategories,Please select categories,Mohon pilih kategori
pleaseFillAmount,"Please fill amount, above 0","Mohon isi jumlah, diatas 0"
pleaseFillName,Please fill name,Mohon isi nama
pleaseSelectLogo,Please select Logo,Mohon pilih logo
currency,Currency,Mata uang
january,January,Januari
february,February,Februari
march,March,Maret
april,April,April
may,May,Mei
june,June,Juni
july,July,Juli
august,August,Agustus
september,September,September
october,October,Oktober
november,November,November
december,December,Desember
wantLogout,Are you sure want to logout? Make sure backup your data before logout.,Apakah anda ingin logout? Pastikan sudah mencadangkan data anda sebelum logout.
save,Save,Simpan
jan,Jan,Jan
feb,Feb,Feb
mar,Mar,Mar
apr,Apr,Apr
may,May,Mei
jun,Jun,Jun
jul,Jul,Jul
aug,Aug,Aug
sept,Sep,Sep
oct,Oct,Okt
nov,Nov,Nov
dec,Dec,Des
emailEmpty,Email empty,Email kosong
nameEmpty,"Name empty, must above 4 characters","Nama kosong, harus lebih dari 4 karakter"
goVerify,Please verify email for backup feature,Harap verifikasi email untuk fitur cadangan
changeEmailVerifyDialog,"You will change your email. After changing your email, please verify your email again.","Kamu akan mengganti email. Setelah mengganti email, harap untuk melakukan verifikasi email kembali"
changingEmail,Email Changing,Penggantian Email
changingPass,Password Changing,Penggatntian Password
goalName,Goal Name,Nama Tujuan
enterGoal,Enter Goal,Masukkan nama tujuan
or,Or,Atau
changePassVerifyDialog,You will change your password. Please check an email,Kamu akan mengganti password. Silahkan cek email
monthly,Monthly,Bulanan
daily,Daily,Harian
period,Period,Waktu tertentu
yearly,Yearly,Tahunan
byDay,By Day,Berdasarkan Hari
byMonth,By Month,Berdasarkan Bulan
byYear,By Year,Berdasarkan Tahun
selectDateRange,Select a date range,Pilih rentang tanggal
selectYear,Select year,Pilih tahun
detail,Detail,Rincian
thisYear,This Year,Tahun Ini
thisMonth,This Month ,Bulan Ini
notification,Notification,Notifikasi
warningMonthlyBudget,Your expenses have exceeded your set monthly budget!,Pengeluaranmu sudah melebihi anggaran bulanan yang ditetapkan!
alert,Warning,Peringatan
markReadAll,Mark read all,Tandai baca semua
lastBackup,Last backup:,Pencadangan terakhir:
backup,Backup,Cadangkan
confirmLogout,Confirmation,Konfirmasi
continueLogout,Continue,Lanjutkan
backupFound,Backup Found,Ditemukan cadangan
useThisBackup,Use this backup?,Gunakan cadangan ini?
yes,Yes,Ya
skip,"No, skip","Tidak, lewat"
